painting,paintingLabel,height,width,creationYear,countryLabel,materialLabel,authorLabel
http://www.wikidata.org/entity/Q3627401,Вознесение Девы Марии,385,337,1517,Италия,fresco,Россо Фьорентино
http://www.wikidata.org/entity/Q931837,Христос у колонны,134.5,175.5,1606,Франция,масляные краски,Караваджо
http://www.wikidata.org/entity/Q3633456,Танец в городе (картина Ренуара),180,90,1883,Франция,масляные краски,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q1132479,Погребение святой Луции,408,300,1608,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q3650885,A Muse (Calliope?),116,71,1460,Италия,масляные краски,Козимо Тура
http://www.wikidata.org/entity/Q3650885,A Muse (Calliope?),116,71,1460,Италия,панель,Козимо Тура
http://www.wikidata.org/entity/Q955295,Мадонна с младенцем,61.9,41,1470,Италия,transferred on canvas,Карло Кривелли
http://www.wikidata.org/entity/Q3633456,Танец в городе (картина Ренуара),180,90,1883,Франция,холст,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q959770,King John II of France in profile,59.8,44.6,1357,Франция,клеевая живопись,http://www.wikidata.org/.well-known/genid/d9d29d25cd981335ffa33dd5414a665b
http://www.wikidata.org/entity/Q1132486,The Martyrdom of Saint Ursula,154,178,1610,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q930535,Таитянские женщины на побережье,69,91.5,1890,Франция,масляные краски,Поль Гоген
