painting,paintingLabel,height,width,creationYear,countryLabel,materialLabel,authorLabel
http://www.wikidata.org/entity/Q2787954,Composition XVII,50,50.5,1919,Нидерланды,масляные краски,Тео ван Дусбург
http://www.wikidata.org/entity/Q2631335,Мадонна с рыбой,215,158,1513,Испания,transferred on canvas,Рафаэль Санти
http://www.wikidata.org/entity/Q2787954,Composition XVII,50,50.5,1919,Нидерланды,холст,Тео ван Дусбург
http://www.wikidata.org/entity/Q2732274,Кающаяся Магдалина (картина Караваджо),122.5,30,1593,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2734679,Martha and Mary Magdalene,98,133,1598,США,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2732274,Кающаяся Магдалина (картина Караваджо),122.5,30,1593,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2636368,Грюнвальдская битва,426,987,1878,Польша,масляные краски,Ян Матейко
http://www.wikidata.org/entity/Q2734679,Martha and Mary Magdalene,98,133,1598,США,холст,Караваджо
http://www.wikidata.org/entity/Q2653851,Воздвижение Креста,460,430,1610,Бельгия,дуб,Питер Пауль Рубенс
http://www.wikidata.org/entity/Q2636368,Грюнвальдская битва,426,987,1878,Польша,холст,Ян Матейко
http://www.wikidata.org/entity/Q2741541,Поклонение волхвов,147,242,1470,Германия,дубовая панель,Хуго ван дер Гус
http://www.wikidata.org/entity/Q2717478,Мадонна делла Лоджиа,72,50,1467,Италия,панель,Сандро Боттичелли
http://www.wikidata.org/entity/Q2653851,Воздвижение Креста,460,430,1610,Бельгия,масляные краски,Питер Пауль Рубенс
http://www.wikidata.org/entity/Q2717478,Мадонна делла Лоджиа,72,50,1467,Италия,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q2653851,Воздвижение Креста,460,430,1610,Бельгия,панель,Питер Пауль Рубенс
http://www.wikidata.org/entity/Q2667782,Снятие с креста,421,622,1611,Бельгия,масляные краски,Питер Пауль Рубенс
http://www.wikidata.org/entity/Q2667782,Снятие с креста,421,622,1611,Бельгия,панель,Питер Пауль Рубенс
http://www.wikidata.org/entity/Q2653851,Воздвижение Креста,460,640,1610,Бельгия,дуб,Питер Пауль Рубенс
http://www.wikidata.org/entity/Q2721080,Остробрамская икона Божией Матери,163,200,1600,Литва,масляные краски,http://www.wikidata.org/.well-known/genid/31aba5c4e69fdd64b4aaacaa16df5bed
http://www.wikidata.org/entity/Q2741541,Поклонение волхвов,147,242,1470,Германия,масляные краски,Хуго ван дер Гус
http://www.wikidata.org/entity/Q2721080,Остробрамская икона Божией Матери,163,200,1600,Литва,холст,http://www.wikidata.org/.well-known/genid/31aba5c4e69fdd64b4aaacaa16df5bed
http://www.wikidata.org/entity/Q2653851,Воздвижение Креста,460,640,1610,Бельгия,масляные краски,Питер Пауль Рубенс
http://www.wikidata.org/entity/Q2721037,Давид c головой Голиафа,91,116,1607,Австрия,oil on panel,Караваджо
http://www.wikidata.org/entity/Q2653851,Воздвижение Креста,460,640,1610,Бельгия,панель,Питер Пауль Рубенс
http://www.wikidata.org/entity/Q2632688,Крещение Христа,168,116,1448,Великобритания,древесина,Пьеро делла Франческа
http://www.wikidata.org/entity/Q2627810,The Waterseller of Seville,107.7,81.3,1620,Великобритания,масляные краски,Диего Веласкес
http://www.wikidata.org/entity/Q2627056,Давид с головой Голиафа,125,101,1605,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2627810,The Waterseller of Seville,107.7,81.3,1620,Великобритания,холст,Диего Веласкес
http://www.wikidata.org/entity/Q2632688,Крещение Христа,168,116,1448,Великобритания,темпера,Пьеро делла Франческа
http://www.wikidata.org/entity/Q2627056,Давид с головой Голиафа,125,101,1605,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2626595,Семь деяний милосердия,390,70,1600,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2626595,Семь деяний милосердия,390,70,1607,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2626595,Семь деяний милосердия,390,70,1600,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2626595,Семь деяний милосердия,390,70,1607,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2715177,Saint Jerome,116,153,1606,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2711706,Диптих Мартина ван Ньювенхове,44.7,33.5,1487,Бельгия,масляные краски,Ганс Мемлинг
http://www.wikidata.org/entity/Q2715177,Saint Jerome,116,153,1606,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2711706,Диптих Мартина ван Ньювенхове,44.7,33.5,1487,Бельгия,панель,Ганс Мемлинг
http://www.wikidata.org/entity/Q2714237,Благовещение Честелло,150,156,1489,Италия,панель,Сандро Боттичелли
http://www.wikidata.org/entity/Q2715302,Madonna and Child with Saint Anne,292,211,1605,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2714237,Благовещение Честелло,150,156,1489,Италия,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q2714237,Благовещение Честелло,150,156,1489,Италия,штукатурка,Сандро Боттичелли
http://www.wikidata.org/entity/Q2715302,Madonna and Child with Saint Anne,292,211,1605,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2626595,Семь деяний милосердия,390,260,1600,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2626595,Семь деяний милосердия,390,260,1607,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2626595,Семь деяний милосердия,390,260,1600,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2626595,Семь деяний милосердия,390,260,1607,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2721037,Давид c головой Голиафа,91,116,1607,Австрия,панель из тополя,Караваджо
